Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
Afghanistan,37172386,14000,2020-03-23,2020-02-25,33.93911,67.709953,17.3,2020-03-24,Full,AFG
Albania,2866376,5340000,2020-03-12,2020-03-10,41.153332,20.168331,36.2,2020-03-08,Full,ALB
Algeria,42228429,2657000,2020-03-13,2020-02-26,28.033886,1.6596259999999998,27.5,2020-03-24,Full,DZA
Andorra,77006,3042000,2020-03-23,2020-03-03,42.546245,1.601554,37.0,2020-03-16,Full,AND
Angola,30809762,218000,2020-03-30,2020-03-21,-11.202692,17.873887,16.4,,,AGO
Antigua and Barbuda,96286,269000,2020-04-08,2020-03-14,17.060816,-61.79642800000001,30.7,,,ATG
Argentina,44494502,6942000,2020-03-09,2020-03-04,-38.416097,-63.616672,30.8,2020-03-20,Full,ARG
Armenia,2951776,1652000,2020-03-27,2020-03-02,40.069099,45.038189,33.9,2020-03-24,Full,ARM
Australia,24982688,9246000,2020-03-02,2020-01-26,-25.274398,133.775136,37.4,2020-03-25,Partial,AUS
Austria,8840521,30816000,2020-03-13,2020-02-26,47.516231,14.550072,43.2,2020-03-16,Full,AUT
Azerbaijan,9939800,2633000,2020-03-14,2020-03-02,40.143105,47.57692700000001,30.3,2020-03-02,Full,AZE
Bahamas,385640,14000,2020-04-02,2020-03-17,25.03428,-77.39628,32.5,2020-04-17,Full,BHS
Bahrain,1569439,12045000,2020-03-17,2020-02-25,25.930414000000006,50.637772,31.2,2020-02-25,Full,BHR
Bangladesh,161356039,14000,2020-03-19,2020-03-09,23.684994,90.356331,25.6,2020-03-19,Full,BGD
Barbados,286641,680000,2020-04-06,2020-03-18,13.193887,-59.543198,38.5,2020-03-28,Full,BRB
Belarus,9483499,11501600,2020-04-01,2020-02-29,53.709807,27.953389,39.6,2020-04-07,Full,BLR
Belgium,11433256,9119000,2020-03-12,2020-02-05,50.503887,4.469936,41.3,2020-03-17,Full,BEL
Belize,383071,489000,2020-04-07,2020-03-24,17.189877,-88.49765,23.5,2020-04-16,Full,BLZ
Benin,11485048,295000,2020-04-07,2020-03-17,9.30769,2.315834,18.2,,,BEN
Bhutan,754394,274000,,2020-03-07,27.514162,90.433601,26.3,2020-03-06,Full,BTN
Bolivia,11353142,1142000,2020-03-30,2020-03-12,-16.290154,-63.588653,37.0,2020-03-12,Full,BOL
